Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2013-01-02,22.362125396728516,22.45118422059846,21.981595856010713,22.062559686647905,52899300
2013-01-03,22.062559127807617,22.386412897896598,21.989691836505525,22.370219823328,48294400
2013-01-04,21.649646759033203,22.135428225947614,21.641550221088014,22.078754004587996,52521100
2013-01-07,21.60915184020996,21.76298133034979,21.568669176287063,21.67392255823087,37110400
2013-01-08,21.495805740356445,21.690119473159886,21.422938476619155,21.657733336273978,44703100
2013-01-09,21.617258071899414,21.657739209729048,21.503908106314874,21.633449600477412,49047900
2013-01-10,21.422948837280273,21.843959554872118,21.28531232171879,21.576779973372822,71431300
2013-01-11,21.722511291503906,21.803475116394246,21.277212570991797,21.447235213430652,55512100
2013-01-14,21.77109146118164,21.924922591658873,21.665839557754076,21.779187999023254,48324400
2013-01-15,22.03017234802246,22.094944644442634,21.722511661309344,21.722511661309344,48244500
2013-01-16,21.892536163330078,22.046365736753685,21.868246551825873,21.9815949836657,41077400
2013-01-17,22.062559127807617,22.24067831529241,21.908728007919134,22.013981448358418,51685900
2013-01-18,22.062559127807617,22.09494527694481,21.892536477607127,21.941114157056326,52167700
2013-01-22,21.981592178344727,22.224483629618945,21.860147224835803,22.103037131853654,58650600
2013-01-23,22.35402488708496,22.37831295098066,22.022074630288692,22.022074630288692,50387700
2013-01-24,22.370214462280273,22.726454296133156,22.240672985289446,22.42689020968795,101739300
2013-01-25,22.572633743286133,22.856006435493537,22.175912591898545,22.329743746683754,81847700
2013-01-28,22.5969181060791,22.85600112067767,22.475473136018095,22.6778819342053,56056500
2013-01-29,22.677881240844727,22.775036596220442,22.345930945507387,22.52405012653389,49242600
2013-01-30,22.548341751098633,22.823617856339855,22.475474455931447,22.67788326600548,43580500
2013-01-31,22.224483489990234,22.64549255655903,22.184000809570687,22.49975953981773,50530000
2013-02-01,22.613115310668945,22.71027068675981,22.305453016448535,22.40260993679626,55565900
2013-02-04,22.21639633178711,22.685984813079845,22.200203252783943,22.564539809070123,50540000
2013-02-05,22.264970779418945,22.39451230404957,22.151622331431348,22.362127695020305,35410400
2013-02-06,22.135417938232422,22.2973455333649,22.062550674848406,22.16780253070532,41889600
2013-02-07,22.086851119995117,22.175909951207228,21.941116521684883,22.143525342836483,38028300
2013-02-08,22.305450439453125,22.434991955445984,22.111138165463842,22.143524316590398,33318500
2013-02-11,22.556438446044922,22.60501612840944,22.264969263344454,22.38641424138409,32247700
2013-02-12,22.572633743286133,22.669790668481248,22.46738182322695,22.572633743286133,35990900
2013-02-13,22.694074630737305,22.758845383308262,22.572628118442278,22.613110803959472,41715600
2013-02-14,22.70217514038086,22.718366673164457,22.564537074050907,22.60501822239514,32663200
2013-02-15,22.677881240844727,22.79932620719264,22.572627804221746,22.70217085181692,49650900
2013-02-19,22.89829444885254,22.930948736441916,22.694209822545325,22.759516840681947,38781400
2013-02-20,22.75135040283203,23.02074199490458,22.718696121590835,22.963597002732484,44110200
2013-02-21,22.441144943237305,22.645229566100912,22.2288967486141,22.645229566100912,49078500
2013-02-22,22.66155433654785,22.66155433654785,22.432979022341396,22.596247326352,31425900
2013-02-25,22.343175888061523,22.898284523077464,22.343175888061523,22.832977533249622,48011800
2013-02-26,22.343175888061523,22.530933289186393,22.318685182985536,22.35133789937873,49923300
2013-02-27,22.702373504638672,22.85747825735682,22.310531393916953,22.38400198430754,36394700
2013-02-28,22.694204330444336,22.83298190503012,22.645224467955753,22.759511332776366,35840200
2013-03-01,22.816650390625,22.841139536982016,22.465624760455178,22.62889144532023,34849700
2013-03-04,22.97992515563965,22.97992515563965,22.612573817745012,22.735024263709892,38157500
2013-03-05,23.143190383911133,23.298295091973653,22.988085675848613,23.094210523433063,41432200
2013-03-06,22.930950164794922,23.04523706439233,22.67788564838256,23.028909919580634,51448500
2013-03-07,22.971765518188477,23.086053970093776,22.86564219539302,22.947276359027615,29196700
2013-03-08,22.85747718811035,23.12686882125997,22.824822901890002,23.061561805861334,37667800
2013-03-11,22.75135040283203,22.832982991851363,22.588082110709713,22.808493837962295,36627500
2013-03-12,22.784006118774414,22.81666040430341,22.563594362579806,22.72686267614071,39255200
2013-03-13,22.792177200317383,22.87381138399679,22.65339955517515,22.75136088699895,29093400
2013-03-14,22.971765518188477,22.98809266232383,22.800335175893775,22.857478623325342,55914800
2013-03-15,22.890134811401367,22.988094570259484,22.841153374930016,22.881971238656142,92710300
2013-03-18,22.939109802246094,23.086050966260736,22.70237091421318,22.75951435420955,44809400
2013-03-19,23.00441551208496,23.03706823721802,22.881965068012722,22.95543564586444,51901600
2013-03-20,23.118703842163086,23.25748143606621,23.004416961434153,23.13503098427921,35447800
2013-03-21,22.9472713470459,23.151355933036584,22.89828992533802,22.9472713470459,34233200
2013-03-22,23.061552047729492,23.135022603595306,22.939101640300272,23.012572196166087,28720900
2013-03-25,22.98809814453125,23.143202936722194,22.82482977832578,23.102385066649557,44154000
2013-03-26,22.98809814453125,23.135039362707666,22.947281831501147,23.05340517960493,27824300
2013-03-27,23.15951919555664,23.22482619992413,22.92278033157337,22.971760195588537,36047400
2013-03-28,23.355445861816406,23.396262165534946,23.069727064660086,23.118706940530767,55453800
2013-04-01,23.355445861816406,23.396262165534946,23.151361229139347,23.379935021230658,29201100
2013-04-02,23.51054573059082,23.551363585568442,23.28197197088399,23.3391154108107,28456500
2013-04-03,23.314620971679688,23.632993961454886,23.298295389339756,23.469725681721876,35062800
2013-04-04,23.347286224365234,23.35544979789318,23.077894526112814,23.17585429436327,45263200
2013-04-05,23.428911209106445,23.494218214661117,22.947271459250032,23.037067618736565,50927300
2013-04-08,23.3391170501709,23.453403938051924,23.241155748385683,23.453403938051924,34759500
2013-04-09,24.17177963256836,24.34320994287844,23.412584699385164,23.453400995066076,77733800
2013-04-10,24.718725204467773,24.751377928021274,24.0983078865333,24.139124180235623,71116700
2013-04-11,23.624834060668945,23.83708223446703,23.45340218462197,23.75544808192285,130923200
2013-04-12,23.502384185791016,23.690141651310196,23.396259317772703,23.551364055699935,62886300
2013-04-15,23.420751571655273,23.657488922653833,23.273810395222053,23.388097284873627,56332900
2013-04-16,23.64932632446289,23.788103934913362,23.428916107782157,23.59218287728484,52797300
2013-04-17,23.53504180908203,23.70647372498706,23.34728430450602,23.551368954795333,52840700
2013-04-18,23.502384185791016,23.657487366676254,23.265645293320926,23.632998210242793,56906600
2013-04-19,24.30239486694336,24.68607335954326,24.17178084575863,24.179944416712917,99790700
2013-04-22,25.167713165283203,25.453431920728175,24.710564090796424,24.73505324663557,137904000
2013-04-23,24.979955673217773,25.224856573555986,24.80036022639726,25.061589825677828,59126900
2013-04-24,25.926908493041992,26.057522516116908,24.97995604722788,24.99628318937274,90946600
2013-04-25,26.0738468170166,26.80855100601339,25.747311794911564,25.886087816894626,110700200
2013-04-26,25.951398849487305,26.10650202660522,25.673843665008363,26.041195015965585,47799300
2013-04-29,26.620800018310547,26.677943466405633,25.935075527085168,25.95956468653039,59116400
2013-04-30,27.020801544189453,27.028966672605176,26.351404261967087,26.57998114634638,75165200
